Date,D-mart Open,D-mart High, D-mart Low,D-mart Close,D-mart Adj Close,D-mart Volume,Reliance Open,Reliance High,Reliance Low,Reliance Close,Reliance Adj Close,Reliance Volume,,Drop down for visibility,,,,,,,,,,,,Date,D-mart Adj Close,Reliance Adj Close
22-03-2022,4129,4129,4031,4054,4054,396898,2460.100098,2534.949951,2453.600098,2531.149902,2523.552246,10410082,,,,,,,,,,,,,,22-03-2022,4054,2523.552246
23-03-2022,4085.699951,4119,4064.600098,4091.350098,4091.350098,285639,2523,2564.850098,2523,2539.199951,2531.578125,7135797,,,,,,,,,,,,,,23-03-2022,4091.350098,2531.578125
24-03-2022,4086.25,4086.25,4031.550049,4042.850098,4042.850098,374573,2510,2584.149902,2510,2578.649902,2570.909668,6077153,,,,,,,,,,,,,,24-03-2022,4042.850098,2570.909668
25-03-2022,4069,4069,3995,4001.300049,4001.300049,440558,2582.5,2616,2577,2595.850098,2588.058105,6563676,,,,,,,,,,,,,,25-03-2022,4001.300049,2588.058105
28-03-2022,4005.149902,4021,3975.050049,4010.050049,4010.050049,428027,2610,2629.75,2586.5,2621.949951,2614.07959,4564891,,,,,,,,,,,,,,28-03-2022,4010.050049,2614.07959
29-03-2022,4010.050049,4037.800049,3985,4006.100098,4006.100098,397614,2638,2638,2607.399902,2622.550049,2614.677979,4007695,,,,,,,,,,,,,,29-03-2022,4006.100098,2614.677979
30-03-2022,4025,4084,3945,3973.399902,3973.399902,580732,2639.899902,2688,2617.100098,2672.949951,2664.926514,7297028,,,,,,,,,,,,,,30-03-2022,3973.399902,2664.926514
31-03-2022,4028,4040,3983.050049,4003.350098,4003.350098,492437,2664.949951,2669.699951,2628.600098,2634.75,2626.841309,6102744,,,,,,,,,,,,,,31-03-2022,4003.350098,2626.841309
01-04-2022,4013,4093,4000,4082.199951,4082.199951,416596,2636,2665.149902,2622,2655.850098,2647.878174,3656408,,,,,,,,,,,,,,01-04-2022,4082.199951,2647.878174
04-04-2022,4120,4150,4076.149902,4106.649902,4106.649902,438581,2655.449951,2675,2641.649902,2663.699951,2655.704346,3659307,,,,,,,,,,,,,,04-04-2022,4106.649902,2655.704346
05-04-2022,4138.75,4148,4100,4109.700195,4109.700195,277248,2651.100098,2669.899902,2620.699951,2626.050049,2618.16748,6068663,,,,,,,,,,,,,,05-04-2022,4109.700195,2618.16748
06-04-2022,4090,4139.799805,4085.600098,4101.899902,4101.899902,218183,2587.100098,2634.5,2587.100098,2619.050049,2611.188477,5656703,,,,,,,,,,,,,,06-04-2022,4101.899902,2611.188477
07-04-2022,4099.899902,4244,4092,4159.700195,4159.700195,979784,2595.100098,2606,2567,2572.850098,2565.127197,7151632,,,,,,,,,,,,,,07-04-2022,4159.700195,2565.127197
08-04-2022,4165,4208,4118,4146.25,4146.25,358035,2560,2625,2560,2615.649902,2607.798584,6992874,,,,,,,,,,,,,,08-04-2022,4146.25,2607.798584
11-04-2022,4136.799805,4200,4130.049805,4171.600098,4171.600098,202944,2600,2638.550049,2583,2610.199951,2602.36499,4270816,,,,,,,,,,,,,,11-04-2022,4171.600098,2602.36499
12-04-2022,4174.950195,4174.950195,4075,4088.699951,4088.699951,228548,2587,2602.600098,2555.399902,2561.050049,2553.362549,6099986,,,,,,,,,,,,,,12-04-2022,4088.699951,2553.362549
13-04-2022,4101,4117.950195,4081.699951,4090.899902,4090.899902,157516,2574.5,2592.600098,2545.5,2551.649902,2543.990723,4778478,,,,,,,,,,,,,,13-04-2022,4090.899902,2543.990723
18-04-2022,4065,4079,4009,4056,4056,193904,2533,2559.800049,2521.800049,2543.850098,2536.214355,4603103,,,,,,,,,,,,,,18-04-2022,4056,2536.214355
19-04-2022,4089.899902,4131.899902,3975,4008.899902,4008.899902,222195,2558,2668,2551.050049,2640.800049,2632.873291,12064446,,,,,,,,,,,,,,19-04-2022,4008.899902,2632.873291
20-04-2022,4026,4065,4000,4054.800049,4054.800049,222817,2657.100098,2734,2649.100098,2718.449951,2710.290039,11570835,,,,,,,,,,,,,,20-04-2022,4054.800049,2710.290039
21-04-2022,4075,4080,4015,4030.25,4030.25,209196,2750.899902,2789,2732,2782.100098,2773.749023,10018531,,,,,,,,,,,,,,21-04-2022,4030.25,2773.749023
22-04-2022,4028.649902,4060.050049,3995.75,4028.850098,4028.850098,210640,2758.899902,2802,2744.199951,2758.800049,2750.519043,6947490,,,,,,,,,,,,,,22-04-2022,4028.850098,2750.519043
25-04-2022,4000,4022.350098,3975.050049,3989.199951,3989.199951,204726,2742.399902,2758.399902,2663.649902,2695,2686.9104,7874671,,,,,,,,,,,,,,25-04-2022,3989.199951,2686.9104
26-04-2022,4009.800049,4050,3994.399902,4044.25,4044.25,198101,2710,2795,2707.699951,2775.649902,2767.318359,5643066,,,,,,,,,,,,,,26-04-2022,4044.25,2767.318359
27-04-2022,4006.100098,4024.350098,3960,3977.699951,3977.699951,169916,2755.850098,2828,2755.050049,2778.350098,2770.010254,8924920,,,,,,,,,,,,,,27-04-2022,3977.699951,2770.010254
28-04-2022,4023.899902,4054,3995.550049,4024.550049,4024.550049,247751,2809.949951,2851,2786.100098,2819.850098,2811.385742,11820892,,,,,,,,,,,,,,28-04-2022,4024.550049,2811.385742
29-04-2022,4048.899902,4085,3906,3944.25,3944.25,238651,2856.149902,2856.149902,2777.300049,2790.25,2781.874512,8406156,,,,,,,,,,,,,,29-04-2022,3944.25,2781.874512
02-05-2022,3939.600098,3997.800049,3889,3983.350098,3983.350098,265831,2762,2805.5,2758.050049,2780.449951,2772.104004,4369022,,,,,,,,,,,,,,02-05-2022,3983.350098,2772.104004
04-05-2022,4000,4023.949951,3850.199951,3867.149902,3867.149902,270400,2785,2790,2676.300049,2693.649902,2685.564453,8882792,,,,,,,,,,,,,,04-05-2022,3867.149902,2685.564453
05-05-2022,3920,3980,3775,3943.800049,3943.800049,457770,2723.5,2730,2632,2640.899902,2632.972656,7942721,,,,,,,,,,,,,,05-05-2022,3943.800049,2632.972656
06-05-2022,3866,3889.649902,3602.149902,3666.199951,3666.199951,858787,2612.199951,2659,2593.550049,2620.649902,2612.783447,9068448,,,,,,,,,,,,,,06-05-2022,3666.199951,2612.783447
09-05-2022,3655,3655,3486,3520.300049,3520.300049,732787,2574.949951,2597.100098,2507,2518.300049,2510.740967,8345649,,,,,,,,,,,,,,09-05-2022,3520.300049,2510.740967
